id;comentario;fecha;me_gusta;seguir
1;../data/blob/hipster.txt;2019-07-24;false;false
2;../data/blob/hipster.txt;2019-07-24;false;true
3;../data/blob/hipster.txt;2019-07-23;true;false
4;../data/blob/hipster.txt;2019-07-24;false;false
5;../data/blob/hipster.txt;2019-07-24;true;true
6;../data/blob/hipster.txt;2019-07-24;true;true
7;../data/blob/hipster.txt;2019-07-23;true;false
8;../data/blob/hipster.txt;2019-07-23;true;true
9;../data/blob/hipster.txt;2019-07-24;true;true
10;../data/blob/hipster.txt;2019-07-24;true;false
